STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",01/11/1997,,,,,,,,13.3,6.7,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",02/11/1997,,,,,,,,9.4,4.4,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",03/11/1997,,,,,,,,5.6,0.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",04/11/1997,,,,,,,,3.9,0,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",05/11/1997,,,,,,,,8.9,2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",06/11/1997,,,,,,,,10.6,2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",07/11/1997,,,,,,,,8.9,1.1,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",08/11/1997,,,,,,,,9.4,5.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",09/11/1997,,,,,,,,7.2,4.4,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",10/11/1997,,,,,,,,6.7,3.9,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",11/11/1997,,,,,,,,5,1.1,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",12/11/1997,,,,,,,,1.1,-5,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",13/11/1997,,,,,,,,2.8,-6.1,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",14/11/1997,,,,,,,,1.7,0,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",15/11/1997,,,,,,,,1.7,-2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",16/11/1997,,,,,,,,0.6,-6.1,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",17/11/1997,,,,,,,,1.7,-8.9,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",18/11/1997,,,,,,,,3.9,-6.7,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",19/11/1997,,,,,,,,10.6,-2.2,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",20/11/1997,,,,,,,,11.1,-3.3,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",21/11/1997,,,,,,,,9.4,3.9,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",22/11/1997,,,,,,,,6.1,2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",23/11/1997,,,,,,,,4.4,-2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",24/11/1997,,,,,,,,2.8,-5,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",25/11/1997,,,,,,,,12.2,-4.4,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",26/11/1997,,,,,,,,12.2,0.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",27/11/1997,,,,,,,,7.8,-4.4,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",28/11/1997,,,,,,,,15,6.1,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",29/11/1997,,,,,,,,15,10,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",30/11/1997,,,,,,,,13.3,3.3,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",01/12/1997,,,,,,,,3.9,0.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",02/12/1997,,,,,,,,5.6,-2.8,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",03/12/1997,,,,,,,,11.7,0.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",04/12/1997,,,,,,,,7.8,-0.6,,,,,,,,,,,,
USW00004804,"COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US",05/12/1997,,,,,,,,-0.6,-5.6,,,,,,,,,,,,
